Symbol,Name,Price,Change,market cap,PE_ratio
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.29,-0.35,139.246B,14.31
WFC,Wells Fargo & Company,37.42,-0.91,141.362B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.78,+0.65,126.147B,26.17
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.76,-2.54,114.768B,43.68
C,Citigroup Inc.,45.39,-0.64,89.02B,6.28
AXP,American Express Company,147.86,-0.13,110.356B,15.61
TD,The Toronto-Dominion Bank,60.66,-0.23,111.937B,9.90
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.79,+8.77,98.472B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.972B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
WFC-PY,Wells Fargo & Company,22.39,+0.04,182.822B,4.63
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.33,+0.13,143.782B,2.98
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.28,-0.35,139.229B,14.31
WFC,Wells Fargo & Company,37.42,-0.91,141.381B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.78,+0.65,126.147B,26.17
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.76,-2.54,114.768B,43.68
C,Citigroup Inc.,45.40,-0.63,89.02B,6.28
AXP,American Express Company,147.86,-0.13,110.408B,15.61
TD,The Toronto-Dominion Bank,60.66,-0.23,111.937B,9.90
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.93,+8.91,98.454B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.958B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.32,-0.05,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
WFC-PL,Wells Fargo & Company,"1,139.77",+1.77,178.136B,235.88
C-PJ,Citigroup Inc.,25.33,+0.13,143.782B,2.98
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.30,-0.33,139.246B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.362B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.79,+0.66,126.167B,26.17
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.91,-2.38,114.83B,43.71
C,Citigroup Inc.,45.39,-0.64,88.996B,6.28
AXP,American Express Company,147.80,-0.19,110.378B,15.61
TD,The Toronto-Dominion Bank,60.67,-0.22,111.953B,9.90
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.93,+8.91,98.475B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.05,+1.31,88.954B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.35,-0.02,89.208B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.87,-0.07,79.133B,94.94
C-PJ,Citigroup Inc.,25.33,+0.13,143.782B,2.98
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.30,-0.33,139.263B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.305B,10.87
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.79,+0.66,126.167B,26.17
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.38,-0.65,89.006B,6.28
AXP,American Express Company,147.80,-0.19,110.367B,15.61
TD,The Toronto-Dominion Bank,60.67,-0.22,111.953B,9.90
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.93,+8.91,98.475B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.03,+1.30,88.927B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.35,-0.02,89.223B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.87,-0.07,79.133B,94.94
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
HSBC,HSBC Holdings plc,37.50,+0.05,151.193B,6.79
MS,Morgan Stanley,82.30,-0.33,139.263B,14.31
WFC,Wells Fargo & Company,37.40,-0.93,141.286B,10.87
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.79,+0.66,126.167B,26.17
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.05,-1.67,106.798B,11.44
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.39,-0.64,89.006B,6.28
AXP,American Express Company,147.80,-0.19,110.367B,15.61
TD,The Toronto-Dominion Bank,60.67,-0.22,111.953B,9.90
BX,Blackstone Inc.,83.00,-0.28,98.892B,101.22
BLK,"BlackRock, Inc.",650.84,+8.82,98.475B,20.37
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.05,+1.32,88.9B,13.32
MMC,"Marsh & McLennan Companies, Inc.",180.35,-0.02,89.223B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.60,-1.79,82.668B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.87,-0.07,79.133B,94.94
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MS,Morgan Stanley,82.30,-0.33,139.263B,14.31
WFC,Wells Fargo & Company,37.42,-0.92,141.343B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",319.00,-1.72,106.781B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.38,-0.65,89.016B,6.28
AXP,American Express Company,147.77,-0.22,110.367B,15.61
TD,The Toronto-Dominion Bank,60.67,-0.22,111.953B,9.90
BX,Blackstone Inc.,82.99,-0.29,98.892B,101.22
BLK,"BlackRock, Inc.",650.84,+8.82,98.461B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.936B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.35,-0.02,89.223B,28.18
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.55,-1.84,82.647B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.46,+0.07,63.275B,0.47
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.87,-0.07,79.133B,94.94
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
WFC,Wells Fargo & Company,37.42,-0.92,141.343B,10.88
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",318.91,-1.81,106.751B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.38,-0.65,88.996B,6.28
AXP,American Express Company,147.77,-0.22,110.341B,15.60
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,82.99,-0.29,98.88B,101.21
BLK,"BlackRock, Inc.",650.84,+8.82,98.461B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.945B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.41,+0.04,89.253B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.55,-1.84,82.647B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.051B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.89,-0.05,79.145B,94.96
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
RY,Royal Bank of Canada,95.81,-0.41,133.402B,12.22
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",318.91,-1.81,106.751B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.38,-0.65,88.996B,6.28
AXP,American Express Company,147.77,-0.22,110.341B,15.60
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,82.99,-0.29,98.88B,101.21
BLK,"BlackRock, Inc.",650.84,+8.82,98.461B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.08,+1.35,88.97B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.41,+0.04,89.253B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.55,-1.84,82.647B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.93,-0.01,79.145B,94.96
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
HDB,HDFC Bank Limited,67.80,+0.67,126.186B,26.18
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",318.96,-1.76,106.767B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.40,-0.63,89.035B,6.28
AXP,American Express Company,147.80,-0.19,110.341B,15.60
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,83.00,-0.28,98.898B,101.23
BLK,"BlackRock, Inc.",650.84,+8.82,98.461B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.08,+1.35,88.999B,13.34
MMC,"Marsh & McLennan Companies, Inc.",180.41,+0.04,89.253B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.55,-1.84,82.647B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.93,-0.01,79.171B,94.99
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.08,-2.10,72.44B,35.28
WFC-PC,Wells Fargo & Company,17.23,+0.07,122.883B,3.57
GS,"The Goldman Sachs Group, Inc.",318.90,-1.82,106.747B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.40,-0.63,89.035B,6.28
AXP,American Express Company,147.82,-0.17,110.378B,15.61
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,83.00,-0.28,98.898B,101.23
BLK,"BlackRock, Inc.",650.84,+8.82,98.461B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.07,+1.34,88.972B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.39,+0.02,89.253B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.49,-1.90,82.623B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.93,-0.01,79.171B,94.99
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.06,-2.12,72.435B,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
GS,"The Goldman Sachs Group, Inc.",318.80,-1.92,106.714B,11.43
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.39,-0.64,89.016B,6.28
AXP,American Express Company,147.77,-0.22,110.341B,15.60
TD,The Toronto-Dominion Bank,60.65,-0.24,111.919B,9.89
BX,Blackstone Inc.,82.99,-0.29,98.898B,101.23
BLK,"BlackRock, Inc.",650.63,+8.61,98.43B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.06,+1.33,88.954B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.39,+0.02,89.243B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.49,-1.90,82.623B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.07,-0.01,64.83B,3.19
PGR,The Progressive Corporation,133.92,-0.02,79.145B,94.96
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.08,-2.10,72.411B,35.26
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
SPGI,S&P Global Inc.,357.91,-2.38,114.818B,43.70
C,Citigroup Inc.,45.39,-0.64,89.013B,6.28
AXP,American Express Company,147.78,-0.21,110.348B,15.61
TD,The Toronto-Dominion Bank,60.63,-0.26,111.888B,9.89
BX,Blackstone Inc.,83.01,-0.27,98.904B,101.23
BLK,"BlackRock, Inc.",650.63,+8.61,98.43B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.07,+1.34,88.972B,13.33
MMC,"Marsh & McLennan Companies, Inc.",180.39,+0.02,89.243B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.56,-1.83,82.65B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.08,0.00,64.83B,3.19
PGR,The Progressive Corporation,133.99,+0.05,79.162B,94.98
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.10,-2.08,72.435B,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
C,Citigroup Inc.,45.40,-0.62,89.045B,6.28
AXP,American Express Company,147.78,-0.21,110.348B,15.61
TD,The Toronto-Dominion Bank,60.63,-0.26,111.888B,9.89
BX,Blackstone Inc.,83.01,-0.27,98.904B,101.23
BLK,"BlackRock, Inc.",650.63,+8.61,98.43B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.08,+1.35,88.99B,13.34
MMC,"Marsh & McLennan Companies, Inc.",180.39,+0.02,89.243B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.56,-1.83,82.65B,15.85
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.92,-0.03,80.086B,19.59
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.04,+0.10,79.215B,95.04
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.06,-2.12,72.44B,35.28
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.50,+0.28,68.501B,26.75
AXP,American Express Company,147.83,-0.16,110.386B,15.61
TD,The Toronto-Dominion Bank,60.67,-0.22,111.965B,9.90
BX,Blackstone Inc.,83.12,-0.16,99.035B,101.37
BLK,"BlackRock, Inc.",650.50,+8.48,98.41B,20.35
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.14,+1.41,89.099B,13.35
MMC,"Marsh & McLennan Companies, Inc.",180.43,+0.06,89.263B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.62,-1.77,82.674B,15.86
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.93,-0.02,80.103B,19.60
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.01,+0.07,79.215B,95.04
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.12,-2.06,72.475B,35.30
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.50,+0.28,68.525B,26.75
CME,CME Group Inc.,184.55,+1.07,67.066B,23.67
TD,The Toronto-Dominion Bank,60.67,-0.22,111.965B,9.90
BX,Blackstone Inc.,83.12,-0.16,99.035B,101.37
BLK,"BlackRock, Inc.",650.50,+8.48,98.41B,20.35
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.15,+1.42,89.099B,13.35
MMC,"Marsh & McLennan Companies, Inc.",180.43,+0.06,89.263B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.67,-1.72,82.679B,15.86
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.93,-0.02,80.12B,19.60
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.12,+0.18,79.215B,95.04
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.13,-2.05,72.475B,35.30
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.50,+0.28,68.525B,26.75
CME,CME Group Inc.,184.63,+1.15,67.047B,23.66
ICE,"Intercontinental Exchange, Inc.",108.39,+0.18,60.656B,41.83
BX,Blackstone Inc.,83.15,-0.13,99.071B,101.40
BLK,"BlackRock, Inc.",650.71,+8.69,98.442B,20.36
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.16,+1.43,89.135B,13.36
MMC,"Marsh & McLennan Companies, Inc.",180.43,+0.06,89.263B,28.19
GS-PJ,"The Goldman Sachs Group, Inc.",24.97,-0.01,68.303B,0.48
CB,Chubb Limited,199.77,-1.62,82.737B,15.87
MS-PI,Morgan Stanley,24.85,-0.03,66.271B,3.16
GS-PK,"The Goldman Sachs Group, Inc.",24.49,+0.10,63.353B,0.48
IBN,ICICI Bank Limited,22.93,-0.02,80.12B,19.60
MS-PF,Morgan Stanley,25.08,+0.00,64.869B,3.19
PGR,The Progressive Corporation,134.05,+0.11,79.239B,95.07
MS-PK,Morgan Stanley,23.20,-0.08,63.064B,2.95
MS-PE,Morgan Stanley,25.09,-0.01,63.647B,3.19
MUFG,"Mitsubishi UFJ Financial Group, Inc.",6.41,-0.01,78.042B,26.73
GS-PA,"The Goldman Sachs Group, Inc.",20.08,+0.20,74.004B,0.39
GS-PD,"The Goldman Sachs Group, Inc.",20.67,+0.21,73.35B,0.40
PYPL,"PayPal Holdings, Inc.",62.13,-2.06,72.487B,35.30
USB-PH,U.S. Bancorp,17.51,-0.09,72.085B,3.78
MS-PA,Morgan Stanley,20.44,+0.22,71.974B,2.60
USB-PP,U.S. Bancorp,22.29,+0.07,69.93B,4.81
AON,Aon plc,335.50,+0.28,68.525B,26.75
CME,CME Group Inc.,184.60,+1.12,67.066B,23.67
ICE,"Intercontinental Exchange, Inc.",108.39,+0.18,60.684B,41.85
BNS,The Bank of Nova Scotia,49.02,-0.32,58.486B,9.08
BLK,"BlackRock, Inc.",650.39,+8.37,98.394B,20.35
RY-PT,Royal Bank of Canada,25.44,+0.02,94.477B,2.89
SCHW,The Charles Schwab Corporation,49.14,+1.41,89.09B,13.35
