V1,V2
-0.72068,-6.7583
-1.9966,-9.5001
-0.97325,-6.4168
-0.025314,-0.17383
0.062525,2.9301
-5.525,6.3258
-1.2943,2.6735
-0.24037,-1.7837
-1.3968,-9.6698
-2.9672,-13.2869
-1.1005,-7.2508
0.22432,-0.52147
0.90407,3.3708
-2.8619,4.5193
-1.0833,-0.31247
-1.5681,-7.2446
-2.0545,-10.8679
0.2346,-4.5152
1.581,0.86909
1.5514,3.8013
-4.1479,7.1225
-2.2625,-0.099335
-1.7479,-5.823
-0.95923,-6.7128
1.3451,0.23589
2.2279,4.0951
1.2572,4.8731
-5.3857,9.1214
-2.9786,2.3445
-1.5851,-2.1562
-0.21888,-2.2038
1.3183,1.9017
1.4896,3.4288
0.11592,3.2219
-3.3924,3.3564
-6.1632,8.7096
-4.0786,2.9239
-2.5899,-0.3911
-1.0116,-0.19038
0.066129,2.4914
-0.24745,1.9368
-1.5732,1.0636
-2.1668,1.5933
-1.1667,-1.4237
-2.8391,-6.63
-4.5046,-5.8126
-2.41,3.7433
0.40614,1.3492
-1.3887,-4.8773
-3.7503,-13.4586
-3.5637,-8.3827
-2.5419,-0.65804
